Project_ID,Project_Name,Start_Date,Expected_End_Date,Actual_End_Date,Budget,Spent_Amount,Duration,Current_Phase,Team_Size,Weather_Factor,Change_Orders,Supplier_Reliability,Permits_Issued,Risk_Level,Stakeholder_Engagement,Compliance_Issues,Completion_Status
22,Project V,2024-01-01,2024-09-03,,725273,159527,270,Construction,2,7,4,1,0,2,2,2,1
23,Project W,2024-01-19,2024-09-29,,1452762,65768,263,Construction,15,4,0,8,4,10,9,0,1
24,Project X,2024-01-02,2024-12-05,,1229599,360393,231,Construction,11,7,1,5,5,6,10,0,0
25,Project Y,2024-01-05,2024-11-29,,1371108,71636,311,Inspection,7,2,2,10,7,6,10,1,1
26,Project Z,2024-01-10,2024-12-13,,1103552,325111,351,Inspection,17,9,1,2,4,6,1,0,1
27,Project A,2024-01-25,2024-08-07,,1122405,202769,172,Construction,15,4,0,1,0,4,9,2,1
28,Project B,2024-01-18,2024-09-20,,937891,329436,163,Planning,8,10,3,1,1,6,1,1,1
29,Project C,2024-01-20,2024-09-05,,538532,283308,192,Planning,13,4,4,9,0,10,1,1,0
30,Project D,2024-01-23,2024-08-03,,1463334,20175,370,Planning,9,9,1,2,9,2,8,2,0
31,Project E,2024-01-28,2024-08-22,,1483023,117391,346,Planning,4,1,1,1,4,10,5,1,0
32,Project F,2024-01-22,2024-07-02,,719294,328542,318,Construction,17,5,0,8,8,1,2,0,0
33,Project G,2024-01-29,2024-09-09,,554714,111609,176,Construction,1,6,1,9,2,6,10,0,0
34,Project H,2024-01-04,2024-10-16,,1199043,280854,342,Construction,5,6,2,7,5,6,8,0,0
35,Project I,2024-01-24,2024-07-13,,843820,490908,337,Construction,9,4,4,10,3,6,8,0,1
36,Project J,2024-01-10,2024-11-17,,1010674,54449,383,Construction,12,7,1,7,8,5,9,1,0
37,Project K,2024-01-29,2024-09-08,,810692,477898,365,Planning,8,6,0,9,8,4,1,0,1
38,Project L,2024-01-05,2024-12-06,,1471551,130497,215,Planning,9,6,2,9,5,4,9,0,1
39,Project M,2024-01-14,2024-12-12,,1078439,34038,256,Construction,11,4,2,6,8,5,8,0,0
40,Project N,2024-01-04,2024-12-29,,1396121,496618,370,Inspection,9,6,4,3,7,1,5,0,0
41,Project O,2024-01-03,2024-08-08,,955210,111351,236,Construction,2,6,0,6,7,8,10,1,1
42,Project P,2024-01-05,2024-08-03,,1060787,138321,361,Planning,7,2,4,10,9,8,6,0,1
43,Project Q,2024-01-07,2024-10-02,,703652,267775,163,Construction,14,6,4,3,8,2,5,2,0
44,Project R,2024-01-10,2024-12-17,,1365022,124899,224,Construction,17,2,1,2,6,10,7,1,1
45,Project S,2024-01-18,2024-07-25,,1260599,89741,373,Planning,15,10,1,5,4,1,7,2,0
46,Project T,2024-01-11,2024-07-16,,1464640,426897,217,Planning,14,3,3,9,0,4,3,0,1
47,Project U,2024-01-20,2024-07-25,,1475612,124472,248,Inspection,15,10,2,2,0,6,2,1,0
48,Project V,2024-01-12,2024-09-09,,509512,410982,331,Construction,15,6,2,2,1,1,8,1,1
49,Project W,2024-01-21,2024-07-28,,1094922,292623,341,Inspection,2,2,2,7,3,6,2,0,0
50,Project X,2024-01-21,2024-08-03,,719805,409787,262,Planning,17,5,2,10,4,3,2,0,0
51,Project Y,2024-01-21,2024-11-04,,880481,384663,357,Construction,5,1,1,2,6,10,5,1,0
52,Project Z,2024-01-08,2024-12-28,,518889,298889,240,Construction,18,5,4,7,9,9,8,2,0
53,Project A,2024-01-14,2024-12-05,,671660,269399,386,Construction,8,1,0,10,9,9,9,1,0
54,Project B,2024-01-07,2024-12-07,,808702,203304,198,Construction,12,9,1,10,4,1,9,2,1
55,Project C,2024-01-10,2024-11-02,,1183921,365299,338,Construction,10,2,3,7,5,3,5,1,1
56,Project D,2024-01-07,2024-11-21,,1365178,40824,212,Inspection,16,9,3,3,1,8,6,1,0
57,Project E,2024-01-08,2024-11-25,,958196,132803,321,Inspection,3,10,0,9,7,6,8,1,0
58,Project F,2024-01-13,2024-09-30,,661815,52481,389,Planning,11,1,4,8,2,10,9,1,1
59,Project G,2024-01-26,2024-12-08,,896538,408192,265,Inspection,3,4,1,9,6,7,8,2,1
60,Project H,2024-01-04,2024-11-17,,1243265,374085,357,Inspection,6,1,3,6,6,8,10,1,0
61,Project I,2024-01-22,2024-09-18,,930281,355321,348,Construction,8,10,3,7,8,9,6,2,0
62,Project J,2024-01-15,2024-12-16,,568890,82028,287,Construction,15,6,3,4,7,10,5,1,0
63,Project K,2024-01-10,2024-12-30,,1294548,98797,180,Construction,12,4,4,7,8,7,2,2,1
64,Project L,2024-01-09,2024-11-13,,1297507,252680,329,Planning,16,10,2,2,8,3,10,2,0
65,Project M,2024-01-26,2024-08-23,,1133138,424830,207,Planning,19,9,1,4,8,10,1,0,1
66,Project N,2024-01-24,2024-12-28,,1219660,138486,273,Construction,15,1,1,3,7,6,10,0,1
67,Project O,2024-01-05,2024-07-13,,1223256,481528,301,Construction,5,3,3,9,5,4,6,1,0
68,Project P,2024-01-05,2024-10-07,,1493442,135051,275,Inspection,7,2,1,8,8,8,2,0,0
69,Project Q,2024-01-22,2024-12-29,,1150755,324543,198,Construction,19,3,2,4,1,5,7,1,1
70,Project R,2024-01-24,2024-12-19,,705009,121167,356,Planning,13,10,2,8,9,5,3,2,1
71,Project S,2024-01-10,2024-12-18,,801604,281418,317,Construction,3,8,2,10,8,6,3,1,0
72,Project T,2024-01-22,2024-09-09,,1276977,220889,244,Inspection,7,5,3,10,1,2,4,1,1
73,Project U,2024-01-06,2024-07-14,,1169987,432099,326,Construction,19,1,4,1,6,10,10,1,1
74,Project V,2024-01-22,2024-07-18,,1318318,343881,254,Inspection,18,10,2,8,3,4,2,0,1
75,Project W,2024-01-21,2024-07-12,,822796,133824,257,Inspection,16,7,2,4,4,6,8,0,0
76,Project X,2024-01-16,2024-08-30,,542922,335113,186,Construction,7,5,0,3,0,4,8,2,1
77,Project Y,2024-01-03,2024-07-01,,657834,437145,196,Inspection,12,10,1,3,6,8,8,2,1
78,Project Z,2024-01-23,2024-06-29,,1209114,496016,159,Construction,4,6,1,2,7,6,6,1,0
79,Project A,2024-01-29,2024-11-03,,874881,120005,219,Planning,19,10,2,10,0,6,1,0,0
80,Project B,2024-01-22,2024-09-22,,644808,427292,293,Planning,8,4,1,5,9,3,5,1,1
81,Project C,2024-01-02,2024-09-06,,735838,19171,251,Construction,13,10,2,6,2,10,6,0,1
82,Project D,2024-01-25,2024-11-04,,751320,34179,224,Inspection,8,6,1,3,3,7,10,2,1
83,Project E,2024-01-13,2024-08-30,,1152193,329715,228,Inspection,13,7,3,1,9,3,3,2,1
84,Project F,2024-01-13,2024-09-14,,1303251,489686,204,Construction,4,8,3,5,6,1,6,1,1
85,Project G,2024-01-28,2024-11-27,,612121,326765,274,Planning,4,1,2,2,0,8,7,1,1
86,Project H,2024-01-28,2024-10-16,,1396679,328721,264,Inspection,16,1,2,5,1,3,8,0,1
87,Project I,2024-01-17,2024-09-06,,868616,472418,160,Construction,11,9,3,3,7,10,3,2,0
88,Project J,2024-01-08,2024-10-19,,832969,16127,218,Inspection,13,9,4,6,5,2,2,0,0
89,Project K,2024-01-14,2024-08-02,,1356812,307285,327,Inspection,11,2,0,10,3,1,3,2,1
90,Project L,2024-01-08,2024-07-18,,527255,490015,331,Construction,11,9,0,6,7,9,3,2,0
91,Project M,2024-01-08,2024-10-31,,1214764,64547,303,Planning,13,5,4,2,4,1,9,2,0
92,Project N,2024-01-11,2024-09-12,,1400072,386786,289,Construction,14,4,3,8,5,3,3,2,1
93,Project O,2024-01-30,2024-11-29,,743609,467208,386,Construction,17,2,1,6,3,8,2,0,0
94,Project P,2024-01-23,2024-10-20,,1029044,222981,283,Inspection,14,5,3,9,8,6,1,2,0
95,Project Q,2024-01-01,2024-09-25,,1200496,469321,150,Construction,6,9,2,6,7,1,8,1,0
96,Project R,2024-01-14,2024-12-12,,650329,458910,265,Inspection,12,3,2,9,0,10,5,2,0
97,Project S,2024-01-14,2024-10-15,,977407,35998,180,Planning,5,2,3,5,0,7,10,1,0
98,Project T,2024-01-09,2024-10-26,,1312887,491466,343,Planning,2,10,2,10,8,4,10,0,1
99,Project U,2024-01-17,2024-12-25,,732716,20678,175,Planning,14,9,4,8,7,10,3,0,0
100,Project V,2024-01-21,2024-07-22,,1051184,99609,323,Planning,12,9,1,8,0,10,5,1,1
101,Project W,2024-01-13,2024-10-19,,837441,254271,259,Inspection,4,6,3,5,6,6,3,2,1
102,Project X,2024-01-09,2024-08-18,,1305847,188967,210,Inspection,19,1,3,6,0,8,8,1,0
103,Project Y,2024-01-07,2024-12-23,,821117,480295,282,Planning,19,1,3,7,5,5,9,1,1
104,Project Z,2024-01-30,2024-08-24,,871227,411691,370,Construction,15,6,2,3,1,6,10,1,0
105,Project A,2024-01-04,2024-11-03,,1185525,321406,204,Construction,15,9,1,8,2,1,10,1,1
106,Project B,2024-01-20,2024-12-07,,1472358,257884,256,Construction,14,1,1,5,9,2,1,1,1
107,Project C,2024-01-05,2024-11-27,,914532,143188,260,Planning,8,2,0,7,9,10,2,2,1
108,Project D,2024-01-12,2024-12-17,,808292,228837,154,Construction,12,7,3,3,7,7,9,2,1
109,Project E,2024-01-02,2024-10-26,,1111800,279173,375,Inspection,18,3,4,7,3,7,7,0,1
110,Project F,2024-01-18,2024-10-01,,624860,412175,158,Construction,16,9,2,3,4,10,2,2,0
111,Project G,2024-01-25,2024-07-06,,771858,20069,339,Construction,11,10,1,3,7,5,3,1,0
112,Project H,2024-01-03,2024-08-30,,1055390,117402,262,Construction,3,7,3,3,2,5,2,1,1
113,Project I,2024-01-20,2024-09-20,,1421518,80313,376,Construction,16,6,1,8,9,8,9,1,0
114,Project J,2024-01-09,2024-08-29,,1139402,149724,369,Inspection,12,6,1,1,8,3,8,2,0
115,Project K,2024-01-05,2024-10-20,,1379242,437305,367,Planning,6,9,2,4,7,3,3,1,0
116,Project L,2024-01-23,2024-08-12,,736356,214381,239,Planning,8,1,2,6,9,7,2,1,0
117,Project M,2024-01-27,2024-08-16,,937508,220086,342,Construction,16,7,4,6,0,7,6,2,0
118,Project N,2024-01-26,2024-10-27,,589752,87265,368,Planning,13,1,3,8,0,1,3,1,1
119,Project O,2024-01-26,2024-08-08,,1246111,429919,368,Inspection,14,8,2,6,4,1,5,2,0
120,Project P,2024-01-01,2024-10-03,,612179,100259,233,Construction,11,4,2,2,8,5,2,1,1
121,Project Q,2024-01-02,2024-11-22,,954147,296012,150,Construction,19,3,0,1,0,3,1,2,0
122,Project R,2024-01-02,2024-07-16,,1119282,439798,331,Planning,6,3,2,5,5,6,5,0,0
123,Project S,2024-01-17,2024-10-03,,796487,373922,177,Inspection,12,10,2,7,2,4,6,2,1
124,Project T,2024-01-05,2024-08-17,,976140,357437,240,Construction,7,9,0,5,9,4,8,2,1
125,Project U,2024-01-14,2024-09-20,,919452,264026,205,Construction,6,10,2,4,3,7,2,0,1
126,Project V,2024-01-14,2024-12-12,,637694,315738,308,Planning,10,7,0,10,5,2,7,1,0
127,Project W,2024-01-07,2024-11-24,,565003,410830,315,Construction,12,5,3,9,1,2,3,0,1
128,Project X,2024-01-11,2024-12-29,,1203997,459328,178,Inspection,9,7,2,9,4,10,10,1,0
129,Project Y,2024-01-29,2024-10-07,,1478178,93742,224,Inspection,15,9,3,7,7,4,3,1,1
130,Project Z,2024-01-27,2024-09-22,,1316526,110369,321,Inspection,13,6,4,9,3,3,7,1,0
131,Project A,2024-01-02,2024-12-02,,1205848,367256,333,Planning,3,2,0,8,1,6,6,2,1
132,Project B,2024-01-09,2024-12-28,,1382498,378703,381,Inspection,15,6,2,10,7,2,1,2,0
133,Project C,2024-01-27,2024-07-06,,1158221,72077,245,Planning,15,8,2,9,8,3,6,2,1
134,Project D,2024-01-06,2024-11-01,,1239144,472644,272,Construction,16,8,0,10,4,3,7,0,0
135,Project E,2024-01-30,2024-11-08,,1050411,256124,241,Planning,1,3,3,2,3,7,9,0,1
136,Project F,2024-01-03,2024-11-08,,1031142,78816,180,Inspection,9,3,3,5,8,3,5,0,1
137,Project G,2024-01-10,2024-12-12,,580949,254327,307,Planning,2,4,0,5,7,9,6,1,0
138,Project H,2024-01-05,2024-11-03,,1332050,158280,336,Construction,1,5,1,5,8,5,1,0,1
139,Project I,2024-01-06,2024-11-17,,1454182,267336,285,Inspection,6,3,1,8,7,10,2,2,1
140,Project J,2024-01-23,2024-07-10,,1401541,426,355,Construction,11,2,3,2,3,8,9,1,0
141,Project K,2024-01-29,2024-08-29,,976160,373406,174,Planning,13,10,0,1,5,9,9,2,1
142,Project L,2024-01-28,2024-12-08,,870373,409697,389,Construction,7,7,0,8,9,6,4,2,0
143,Project M,2024-01-11,2024-12-08,,635245,264184,150,Construction,10,10,4,3,9,8,1,2,1
144,Project N,2024-01-20,2024-12-05,,1441605,357350,278,Construction,19,4,3,9,6,7,5,1,1
145,Project O,2024-01-24,2024-10-17,,1098683,52072,239,Construction,12,9,4,2,4,6,5,0,1
146,Project P,2024-01-26,2024-07-23,,1108704,111660,354,Construction,5,1,3,2,6,5,6,0,1
147,Project Q,2024-01-05,2024-12-10,,901800,285425,182,Planning,1,7,2,7,5,6,2,1,1
148,Project R,2024-01-25,2024-08-24,,574466,394941,162,Construction,2,5,1,5,7,9,5,0,0
149,Project S,2024-01-30,2024-11-21,,789155,220436,265,Construction,7,3,3,1,6,2,9,2,0
150,Project T,2024-01-27,2024-08-17,,617014,201721,320,Construction,18,6,3,4,2,2,8,2,0
151,Project U,2024-01-16,2024-07-08,,521260,85532,338,Construction,4,1,3,5,3,5,5,2,0
152,Project V,2024-01-22,2024-10-27,,1284838,308014,268,Construction,18,1,4,10,0,7,5,1,0
153,Project W,2024-01-30,2024-10-31,,1239502,234355,199,Construction,9,9,4,1,3,2,10,1,1
154,Project X,2024-01-29,2024-12-28,,1488626,398719,178,Construction,6,4,0,3,0,1,6,1,1
155,Project Y,2024-01-18,2024-10-07,,1000377,121358,240,Planning,16,5,3,3,9,1,7,1,0
156,Project Z,2024-01-11,2024-12-29,,876256,120780,150,Construction,13,6,0,10,0,3,6,1,0
157,Project A,2024-01-28,2024-10-05,,713610,189212,224,Inspection,8,4,1,7,6,6,4,2,0
158,Project B,2024-01-12,2024-12-16,,1225235,62866,260,Construction,10,1,4,1,8,4,6,0,1
159,Project C,2024-01-20,2024-08-10,,1264438,37399,230,Inspection,17,1,4,2,7,5,3,1,1
160,Project D,2024-01-01,2024-10-27,,1164462,424894,356,Construction,19,3,1,9,1,3,5,0,1
161,Project E,2024-01-03,2024-11-28,,1253160,474623,188,Construction,11,3,2,2,0,4,1,0,0
162,Project F,2024-01-29,2024-12-17,,852433,46486,261,Planning,4,7,4,5,3,7,4,0,0
163,Project G,2024-01-24,2024-07-05,,1029639,399553,184,Inspection,15,7,4,2,3,10,5,1,0
164,Project H,2024-01-19,2024-09-26,,1055823,213937,204,Planning,15,10,2,10,4,8,3,2,1
165,Project I,2024-01-22,2024-09-03,,1403986,56060,395,Inspection,3,10,4,3,6,2,10,0,0
166,Project J,2024-01-09,2024-09-04,,640050,19091,316,Inspection,6,2,4,6,9,7,6,0,1
167,Project K,2024-01-13,2024-08-14,,1408454,277903,255,Planning,11,8,0,3,9,4,6,2,1
168,Project L,2024-01-13,2024-10-02,,1314851,377152,389,Construction,18,2,3,4,4,5,9,1,1
169,Project M,2024-01-20,2024-10-29,,724381,474491,262,Inspection,11,3,4,8,8,3,7,2,0
170,Project N,2024-01-02,2024-08-16,,1345168,377850,266,Planning,15,4,3,2,6,10,2,0,0
171,Project O,2024-01-12,2024-11-22,,635667,226109,245,Planning,5,8,2,9,5,6,8,1,0
172,Project P,2024-01-01,2024-10-16,,1486812,458121,394,Planning,3,1,2,2,1,9,3,1,0
173,Project Q,2024-01-17,2024-10-10,,532946,381686,273,Inspection,10,10,1,4,2,7,3,0,0
174,Project R,2024-01-04,2024-10-15,,738483,317590,164,Planning,4,1,2,10,0,10,7,0,0
175,Project S,2024-01-09,2024-09-01,,1466424,295136,275,Planning,2,4,2,3,4,8,6,1,0
176,Project T,2024-01-08,2024-08-04,,1247750,168597,203,Inspection,18,8,0,2,8,3,1,0,1
177,Project U,2024-01-25,2024-11-19,,637700,66889,334,Inspection,13,2,0,7,6,5,9,2,1
178,Project V,2024-01-14,2024-12-15,,729282,95684,197,Planning,6,10,3,1,4,9,8,1,0
179,Project W,2024-01-12,2024-09-18,,1358877,292499,258,Planning,6,2,0,4,3,2,9,0,1
180,Project X,2024-01-09,2024-07-14,,1368174,311284,377,Construction,1,5,0,2,6,2,8,2,0
181,Project Y,2024-01-09,2024-12-25,,1025899,323583,239,Construction,2,4,4,3,5,6,2,0,1
182,Project Z,2024-01-30,2024-08-14,,1373679,99315,374,Construction,19,5,1,5,2,6,1,2,1
183,Project A,2024-01-04,2024-08-31,,910933,33360,273,Planning,1,7,0,9,5,1,3,2,1
184,Project B,2024-01-23,2024-10-19,,995193,299683,395,Construction,5,1,1,5,3,9,8,2,0
185,Project C,2024-01-06,2024-09-29,,630239,277477,366,Construction,16,10,3,10,0,5,1,1,0
186,Project D,2024-01-07,2024-07-14,,1475667,182351,351,Planning,10,6,4,7,4,9,10,2,1
187,Project E,2024-01-02,2024-10-02,,1008886,304716,349,Inspection,9,6,4,4,2,8,3,0,1
188,Project F,2024-01-20,2024-07-27,,648774,69659,326,Planning,13,9,2,8,3,9,9,2,0
189,Project G,2024-01-06,2024-12-20,,1034779,102501,269,Construction,19,9,4,1,9,2,5,2,0
190,Project H,2024-01-16,2024-09-17,,1393398,211010,244,Inspection,5,8,3,9,3,10,9,1,1
191,Project I,2024-01-30,2024-08-22,,1079215,439832,316,Construction,19,10,1,10,7,4,3,1,1
192,Project J,2024-01-04,2024-11-09,,685058,344980,160,Inspection,18,4,1,2,7,9,4,2,1
193,Project K,2024-01-24,2024-08-03,,1081042,166302,320,Planning,12,10,4,8,4,10,5,0,0
194,Project L,2024-01-26,2024-08-27,,987178,15408,204,Inspection,15,9,4,8,6,7,8,0,1
195,Project M,2024-01-25,2024-08-23,,1391857,249277,318,Planning,5,6,0,2,1,8,10,1,1
196,Project N,2024-01-28,2024-10-11,,679346,424723,370,Inspection,10,3,0,3,4,3,6,2,1
197,Project O,2024-01-12,2024-11-30,,1427519,445182,289,Planning,12,10,3,6,6,9,8,0,1
198,Project P,2024-01-16,2024-11-23,,562422,109456,205,Planning,18,9,3,5,8,3,7,2,0
199,Project Q,2024-01-03,2024-08-25,,653409,470150,372,Inspection,10,7,4,2,5,10,4,0,1
200,Project R,2024-01-13,2024-12-14,,1205700,1939,189,Inspection,2,8,4,8,7,1,5,2,0
201,Project S,2024-01-27,2024-10-03,,886553,318173,181,Planning,11,10,4,9,6,3,1,1,1
202,Project T,2024-01-03,2024-10-17,,900357,127978,367,Construction,12,4,3,7,4,3,4,0,0
203,Project U,2024-01-27,2024-11-11,,1039996,374974,348,Inspection,3,5,4,8,5,5,7,1,1
204,Project V,2024-01-01,2024-08-06,,513911,252034,336,Planning,11,3,2,9,4,4,10,1,1
205,Project W,2024-01-18,2024-10-30,,1081954,371014,366,Planning,6,9,2,1,8,8,3,2,1
206,Project X,2024-01-19,2024-11-28,,687460,363625,258,Construction,12,5,0,10,5,3,8,0,1
207,Project Y,2024-01-02,2024-09-06,,1329622,118528,336,Planning,12,3,4,4,7,1,9,1,1
208,Project Z,2024-01-15,2024-11-13,,646401,85097,173,Planning,11,2,1,8,1,9,9,0,0
209,Project A,2024-01-28,2024-09-12,,709265,341618,218,Planning,16,1,1,1,2,2,7,1,0
210,Project B,2024-01-09,2024-08-29,,1250691,207549,393,Planning,9,7,1,1,8,10,5,2,1
211,Project C,2024-01-17,2024-09-02,,537623,366745,154,Inspection,3,3,3,2,5,3,10,0,1
212,Project D,2024-01-03,2024-10-16,,571085,473272,189,Planning,3,10,1,7,3,4,1,2,1
213,Project E,2024-01-15,2024-09-18,,823196,497308,206,Planning,18,5,0,1,5,6,4,1,1
214,Project F,2024-01-13,2024-07-14,,1427468,130054,221,Inspection,12,8,1,4,2,10,8,2,1
215,Project G,2024-01-09,2024-09-11,,901582,327902,368,Inspection,6,4,2,8,1,2,6,1,0
216,Project H,2024-01-25,2024-12-30,,949054,151789,305,Construction,15,4,2,9,1,7,4,2,1
217,Project I,2024-01-07,2024-12-28,,1000602,389048,241,Construction,4,1,1,7,0,1,1,2,0
218,Project J,2024-01-29,2024-12-09,,647979,58992,229,Inspection,4,3,1,2,1,9,10,2,1
219,Project K,2024-01-07,2024-10-23,,811340,461654,312,Construction,9,7,3,4,7,2,9,2,1
220,Project L,2024-01-25,2024-10-24,,1481016,242490,259,Construction,5,4,2,7,8,1,7,0,0
221,Project M,2024-01-22,2024-07-10,,695332,251718,161,Construction,16,6,1,1,3,4,5,2,0
222,Project N,2024-01-08,2024-07-19,,840378,475739,220,Construction,6,9,4,4,8,8,1,2,0
223,Project O,2024-01-13,2024-10-20,,624700,52851,185,Inspection,17,2,0,10,3,9,8,2,0
224,Project P,2024-01-28,2024-08-24,,709862,472739,268,Inspection,12,5,3,2,7,3,5,0,1
225,Project Q,2024-01-21,2024-11-17,,1183611,254018,338,Construction,8,4,2,10,7,2,9,0,1
226,Project R,2024-01-07,2024-12-01,,1146884,330648,155,Planning,14,7,2,5,6,6,1,1,1
227,Project S,2024-01-25,2024-08-22,,593725,499416,262,Inspection,18,10,2,9,3,10,8,2,1
228,Project T,2024-01-07,2024-10-07,,1004075,222588,305,Planning,6,4,1,7,9,9,3,0,0
229,Project U,2024-01-21,2024-10-28,,977082,244009,398,Planning,18,2,1,8,8,7,10,0,0
230,Project V,2024-01-19,2024-11-29,,1099953,165588,167,Construction,9,4,3,1,0,7,2,1,1
231,Project W,2024-01-03,2024-11-19,,768430,166980,287,Planning,7,7,1,7,2,9,2,2,1
232,Project X,2024-01-22,2024-07-04,,1164387,311240,167,Inspection,17,8,2,8,3,4,1,2,1
233,Project Y,2024-01-11,2024-09-04,,712972,224261,159,Inspection,9,10,2,3,7,1,2,1,0
234,Project Z,2024-01-29,2024-10-19,,1124606,432962,294,Construction,12,5,3,2,7,10,8,2,1
235,Project A,2024-01-25,2024-11-24,,674025,260575,191,Inspection,7,1,2,2,1,7,8,2,0
236,Project B,2024-01-23,2024-06-29,,837900,428816,392,Construction,8,4,4,2,4,2,2,2,0
237,Project C,2024-01-13,2024-09-09,,850274,358685,399,Inspection,2,3,1,2,8,4,6,2,1
238,Project D,2024-01-26,2024-08-11,,1079346,395568,196,Construction,10,2,3,5,0,9,6,0,1
239,Project E,2024-01-07,2024-08-11,,792596,336008,375,Inspection,3,10,4,2,2,5,1,2,1
240,Project F,2024-01-25,2024-08-09,,1315421,375833,244,Inspection,15,2,1,7,3,10,8,0,1
241,Project G,2024-01-29,2024-07-21,,786811,454706,332,Construction,3,10,1,9,3,9,8,1,0
242,Project H,2024-01-17,2024-07-24,,1229062,473230,235,Planning,19,4,0,2,4,4,10,2,0
243,Project I,2024-01-16,2024-12-05,,1471779,152529,339,Construction,19,2,2,3,1,4,8,1,1
244,Project J,2024-01-22,2024-10-10,,1217416,357531,188,Planning,5,4,0,2,3,3,7,1,1
245,Project K,2024-01-24,2024-10-05,,849931,237452,296,Planning,14,5,4,2,7,8,9,2,0
246,Project L,2024-01-13,2024-10-14,,1080280,431946,212,Construction,8,10,4,10,6,9,9,0,1
247,Project M,2024-01-18,2024-09-18,,1221441,83064,178,Inspection,17,6,4,9,6,6,1,1,0
248,Project N,2024-01-03,2024-12-28,,683283,276004,152,Inspection,15,3,0,3,8,3,10,1,0
249,Project O,2024-01-11,2024-12-15,,1370942,362137,190,Construction,17,5,2,10,3,9,4,1,0
250,Project P,2024-01-01,2024-09-18,,737724,207091,314,Inspection,15,7,3,2,9,4,9,0,0
251,Project Q,2024-01-25,2024-09-05,,571105,494881,251,Construction,14,4,1,7,2,3,8,1,0
252,Project R,2024-01-24,2024-10-04,,1248284,31245,280,Construction,1,4,0,1,9,5,9,2,0
253,Project S,2024-01-10,2024-09-04,,1057161,181730,243,Construction,15,2,0,10,6,5,2,1,0
254,Project T,2024-01-23,2024-09-11,,1473789,62568,388,Inspection,10,2,2,3,7,4,9,2,1
255,Project U,2024-01-25,2024-09-10,,930612,14734,299,Planning,5,9,4,7,5,4,3,2,0
256,Project V,2024-01-02,2024-07-06,,1372972,173147,374,Planning,16,2,2,6,8,1,9,1,1
257,Project W,2024-01-16,2024-08-17,,513207,440246,169,Planning,10,5,1,10,2,1,10,2,1
258,Project X,2024-01-07,2024-11-26,,552950,84382,313,Construction,13,9,3,7,8,6,5,2,1
259,Project Y,2024-01-02,2024-11-19,,1112114,470309,166,Construction,19,5,0,9,1,8,2,0,0
260,Project Z,2024-01-10,2024-08-26,,818461,301589,222,Inspection,6,6,4,8,5,9,3,1,1
261,Project A,2024-01-15,2024-08-06,,803356,438838,275,Planning,3,1,1,9,7,10,5,2,1
262,Project B,2024-01-25,2024-08-07,,1408037,135421,289,Planning,16,7,0,4,4,7,9,1,0
263,Project C,2024-01-29,2024-09-10,,696709,323092,291,Construction,15,8,2,5,6,2,3,2,0
264,Project D,2024-01-04,2024-09-04,,1047050,103606,202,Planning,6,1,1,4,3,5,4,2,1
